County,Year,Indicator,Value,Geolocation
Kajiado,2005,Morbidity rates female,32,"(-2.221971, 36.980268)"
Kakamega,2009,Urban households access to electricty,21.5,"(0.308499, 34.654844)"
Kakamega,2009,Rural households access to electricty,2.3,"(0.308499, 34.654844)"
Kakamega,2009,Rural households access to piped water,2.2,"(0.308499, 34.654844)"
Kakamega,2009,Urban households access to piped water,23.4,"(0.308499, 34.654844)"
Kakamega,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.5,"(0.308499, 34.654844)"
Kakamega,2009,"Urban Access to main sewer, sceptic tank or cess pit",11.8,"(0.308499, 34.654844)"
Kakamega,2009,%  with Pre-Primary education,15.9,"(0.308499, 34.654844)"
Kakamega,2009,%  with Primary education,70.9,"(0.308499, 34.654844)"
Kakamega,2009,%  with Secondary education,11,"(0.308499, 34.654844)"
Kakamega,2009,"%  with Tertiary education, university or youth polytechnic",2.1,"(0.308499, 34.654844)"
Kakamega,2005,Incidence of Flu,18.9,"(0.308499, 34.654844)"
Kakamega,2005,Incidence of Fever/Malaria,37.9,"(0.308499, 34.654844)"
Kakamega,2005,Kenya average flu incidence,15,"(0.308499, 34.654844)"
Kakamega,2005,Kenya average Fever/Malaria incidence,41.4,"(0.308499, 34.654844)"
Kakamega,2009,% Employed (age 5 and over) female rural,82.8,"(0.308499, 34.654844)"
Kakamega,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,42.9,"(0.308499, 34.654844)"
Kakamega,2009,% Economically Inactive (aged 5 and over)female rural,4.1,"(0.308499, 34.654844)"
Kakamega,2009,% Employment status unclassified (aged 5 and over)female rural,31.6,"(0.308499, 34.654844)"
Kakamega,2009,% Employed (age 5 and over) male rural,81.4,"(0.308499, 34.654844)"
Kakamega,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,42.6,"(0.308499, 34.654844)"
Kakamega,2009,% Economically Inactive (aged 5 and over) male rural,4.6,"(0.308499, 34.654844)"
Kakamega,2009,% Employment status unclassified (aged 5 and over)male rural,29.7,"(0.308499, 34.654844)"
Kakamega,2009,% Employed (age 5 and over) female urban,83.1,"(0.308499, 34.654844)"
Kakamega,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,35.5,"(0.308499, 34.654844)"
Kakamega,2009, % Economically Inactive (aged 5 and over)female urban,5.3,"(0.308499, 34.654844)"
Kakamega,2009,% Employment status unclassified (aged 5 and over) female urban,39,"(0.308499, 34.654844)"
Kakamega,2009,% Employed (age 5 and over) male urban,81.6,"(0.308499, 34.654844)"
Kakamega,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,40.4,"(0.308499, 34.654844)"
Kakamega,2009, % Economically Inactive (aged 5 and over)male urban,5,"(0.308499, 34.654844)"
Kakamega,2009,% Employment status unclassified (aged 5 and over)male urban,33,"(0.308499, 34.654844)"
Kakamega,2005,Morbidity rates male,29.1,"(0.308499, 34.654844)"
Kakamega,2005,Morbidity rates female,32,"(0.308499, 34.654844)"
Kericho,2009,Urban households access to electricty,22.6,"(-0.297842, 35.319833)"
Kericho,2009,Rural households access to electricty,4.6,"(-0.297842, 35.319833)"
Kericho,2009,Rural households access to piped water,23.7,"(-0.297842, 35.319833)"
Kericho,2009,Urban households access to piped water,41,"(-0.297842, 35.319833)"
Kericho,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.7,"(-0.297842, 35.319833)"
Kericho,2009,"Urban Access to main sewer, sceptic tank or cess pit",7,"(-0.297842, 35.319833)"
Kericho,2009,%  with Pre-Primary education,15.4,"(-0.297842, 35.319833)"
Kericho,2009,%  with Primary education,69.8,"(-0.297842, 35.319833)"
Kericho,2009,%  with Secondary education,11.4,"(-0.297842, 35.319833)"
Kericho,2009,"%  with Tertiary education, university or youth polytechnic",3.3,"(-0.297842, 35.319833)"
Kericho,2005,Incidence of Flu,14.3,"(-0.297842, 35.319833)"
Kericho,2005,Incidence of Fever/Malaria,51.6,"(-0.297842, 35.319833)"
Kericho,2005,Kenya average flu incidence,15,"(-0.297842, 35.319833)"
Kericho,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.297842, 35.319833)"
Kericho,2009,% Employed (age 5 and over) female rural,82.8,"(-0.297842, 35.319833)"
Kericho,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,42.9,"(-0.297842, 35.319833)"
Kericho,2009,% Economically Inactive (aged 5 and over)female rural,4.1,"(-0.297842, 35.319833)"
Kericho,2009,% Employment status unclassified (aged 5 and over)female rural,31.6,"(-0.297842, 35.319833)"
Kericho,2009,% Employed (age 5 and over) male rural,81.4,"(-0.297842, 35.319833)"
Kericho,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,42.6,"(-0.297842, 35.319833)"
Kericho,2009,% Economically Inactive (aged 5 and over) male rural,4.6,"(-0.297842, 35.319833)"
Kericho,2009,% Employment status unclassified (aged 5 and over)male rural,29.7,"(-0.297842, 35.319833)"
Kericho,2009,% Employed (age 5 and over) female urban,83.1,"(-0.297842, 35.319833)"
Kericho,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,35.5,"(-0.297842, 35.319833)"
Kericho,2009, % Economically Inactive (aged 5 and over)female urban,5.3,"(-0.297842, 35.319833)"
Kericho,2009,% Employment status unclassified (aged 5 and over) female urban,39,"(-0.297842, 35.319833)"
Kericho,2009,% Employed (age 5 and over) male urban,81.6,"(-0.297842, 35.319833)"
Kericho,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,40.4,"(-0.297842, 35.319833)"
Kericho,2009, % Economically Inactive (aged 5 and over)male urban,5,"(-0.297842, 35.319833)"
Kericho,2009,% Employment status unclassified (aged 5 and over)male urban,33,"(-0.297842, 35.319833)"
Kericho,2005,Morbidity rates male,17.2,"(-0.297842, 35.319833)"
Kericho,2005,Morbidity rates female,18.5,"(-0.297842, 35.319833)"
Kiambu,2009,Urban households access to electricty,67.3,"(-1.060698, 36.79929)"
Kiambu,2009,Rural households access to electricty,26.8,"(-1.060698, 36.79929)"
Kiambu,2009,Rural households access to piped water,29.4,"(-1.060698, 36.79929)"
Kiambu,2009,Urban households access to piped water,54,"(-1.060698, 36.79929)"
Kiambu,2009,"Rural Access to main sewer, sceptic tank or cess pit",2.3,"(-1.060698, 36.79929)"
Kiambu,2009,"Urban Access to main sewer, sceptic tank or cess pit",23.7,"(-1.060698, 36.79929)"
Kiambu,2009,%  with Pre-Primary education,16.3,"(-1.060698, 36.79929)"
Kiambu,2009,%  with Primary education,58.5,"(-1.060698, 36.79929)"
Kiambu,2009,%  with Secondary education,17.3,"(-1.060698, 36.79929)"
Kiambu,2009,"%  with Tertiary education, university or youth polytechnic",7.7,"(-1.060698, 36.79929)"
Kiambu,2005,Incidence of Flu,27,"(-1.060698, 36.79929)"
Kiambu,2005,Incidence of Fever/Malaria,22.8,"(-1.060698, 36.79929)"
Kiambu,2005,Kenya average flu incidence,15,"(-1.060698, 36.79929)"
Kiambu,2005,Kenya average Fever/Malaria incidence,41.4,"(-1.060698, 36.79929)"
Kiambu,2009,% Employed (age 5 and over) female rural,83.7,"(-1.060698, 36.79929)"
Kiambu,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,45.8,"(-1.060698, 36.79929)"
Kiambu,2009,% Economically Inactive (aged 5 and over)female rural,1.9,"(-1.060698, 36.79929)"
Kiambu,2009,% Employment status unclassified (aged 5 and over)female rural,32.6,"(-1.060698, 36.79929)"
Kiambu,2009,% Employed (age 5 and over) male rural,83.6,"(-1.060698, 36.79929)"
Kiambu,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,48.1,"(-1.060698, 36.79929)"
Kiambu,2009,% Economically Inactive (aged 5 and over) male rural,2,"(-1.060698, 36.79929)"
Kiambu,2009,% Employment status unclassified (aged 5 and over)male rural,30.1,"(-1.060698, 36.79929)"
Kiambu,2009,% Employed (age 5 and over) female urban,84.4,"(-1.060698, 36.79929)"
Kiambu,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,40,"(-1.060698, 36.79929)"
Kiambu,2009, % Economically Inactive (aged 5 and over)female urban,3.7,"(-1.060698, 36.79929)"
Kiambu,2009,% Employment status unclassified (aged 5 and over) female urban,37.4,"(-1.060698, 36.79929)"
Kiambu,2009,% Employed (age 5 and over) male urban,82.9,"(-1.060698, 36.79929)"
Kiambu,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,44.6,"(-1.060698, 36.79929)"
Kiambu,2009, % Economically Inactive (aged 5 and over)male urban,3.9,"(-1.060698, 36.79929)"
Kiambu,2009,% Employment status unclassified (aged 5 and over)male urban,31.2,"(-1.060698, 36.79929)"
Kiambu,2005,Morbidity rates male,20.4,"(-1.060698, 36.79929)"
Kiambu,2005,Morbidity rates female,23.8,"(-1.060698, 36.79929)"
Kilifi,2009,Urban households access to electricty,39.4,"(-3.279972, 39.63501)"
Kilifi,2009,Rural households access to electricty,3.9,"(-3.279972, 39.63501)"
Kilifi,2009,Rural households access to piped water,47.9,"(-3.279972, 39.63501)"
Kilifi,2009,Urban households access to piped water,64.6,"(-3.279972, 39.63501)"
Kilifi,2009,"Rural Access to main sewer, sceptic tank or cess pit",2.1,"(-3.279972, 39.63501)"
Kilifi,2009,"Urban Access to main sewer, sceptic tank or cess pit",22.5,"(-3.279972, 39.63501)"
Kilifi,2009,%  with Pre-Primary education,23.9,"(-3.279972, 39.63501)"
Kilifi,2009,%  with Primary education,67.5,"(-3.279972, 39.63501)"
Kilifi,2009,%  with Secondary education,7.1,"(-3.279972, 39.63501)"
Kilifi,2009,"%  with Tertiary education, university or youth polytechnic",1.3,"(-3.279972, 39.63501)"
Kilifi,2005,Incidence of Flu,4.3,"(-3.279972, 39.63501)"
Kilifi,2005,Incidence of Fever/Malaria,45.4,"(-3.279972, 39.63501)"
Kilifi,2005,Kenya average flu incidence,15,"(-3.279972, 39.63501)"
Kilifi,2005,Kenya average Fever/Malaria incidence,41.4,"(-3.279972, 39.63501)"
Kilifi,2009,% Employed (age 5 and over) female rural,82.6,"(-3.279972, 39.63501)"
Kilifi,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,30.8,"(-3.279972, 39.63501)"
Kilifi,2009,% Economically Inactive (aged 5 and over)female rural,4.5,"(-3.279972, 39.63501)"
Kilifi,2009,% Employment status unclassified (aged 5 and over)female rural,42.9,"(-3.279972, 39.63501)"
Kilifi,2009,% Employed (age 5 and over) male rural,80.6,"(-3.279972, 39.63501)"
Kilifi,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,34.5,"(-3.279972, 39.63501)"
Kilifi,2009,% Economically Inactive (aged 5 and over) male rural,6,"(-3.279972, 39.63501)"
Kilifi,2009,% Employment status unclassified (aged 5 and over)male rural,35.4,"(-3.279972, 39.63501)"
Kilifi,2009,% Employed (age 5 and over) female urban,83.9,"(-3.279972, 39.63501)"
Kilifi,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,27.9,"(-3.279972, 39.63501)"
Kilifi,2009, % Economically Inactive (aged 5 and over)female urban,6.7,"(-3.279972, 39.63501)"
Kilifi,2009,% Employment status unclassified (aged 5 and over) female urban,45.2,"(-3.279972, 39.63501)"
Kilifi,2009,% Employed (age 5 and over) male urban,82.8,"(-3.279972, 39.63501)"
Kilifi,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,42.7,"(-3.279972, 39.63501)"
Kilifi,2009, % Economically Inactive (aged 5 and over)male urban,7.2,"(-3.279972, 39.63501)"
Kilifi,2009,% Employment status unclassified (aged 5 and over)male urban,29.2,"(-3.279972, 39.63501)"
Kilifi,2005,Morbidity rates male,9.9,"(-3.279972, 39.63501)"
Kilifi,2005,Morbidity rates female,15.6,"(-3.279972, 39.63501)"
Kirinyaga,2009,Urban households access to electricty,46.2,"(-0.517766, 37.302006)"
Kirinyaga,2009,Rural households access to electricty,10,"(-0.517766, 37.302006)"
Kirinyaga,2009,Rural households access to piped water,36.5,"(-0.517766, 37.302006)"
Kirinyaga,2009,Urban households access to piped water,58.9,"(-0.517766, 37.302006)"
Kirinyaga,2009,"Rural Access to main sewer, sceptic tank or cess pit",1.3,"(-0.517766, 37.302006)"
Kirinyaga,2009,"Urban Access to main sewer, sceptic tank or cess pit",17.4,"(-0.517766, 37.302006)"
Kirinyaga,2009,%  with Pre-Primary education,12.5,"(-0.517766, 37.302006)"
Kirinyaga,2009,%  with Primary education,68.6,"(-0.517766, 37.302006)"
Kirinyaga,2009,%  with Secondary education,16.1,"(-0.517766, 37.302006)"
Kirinyaga,2009,"%  with Tertiary education, university or youth polytechnic",2.7,"(-0.517766, 37.302006)"
Kirinyaga,2005,Incidence of Flu,7.1,"(-0.517766, 37.302006)"
Kirinyaga,2005,Incidence of Fever/Malaria,43.2,"(-0.517766, 37.302006)"
Kirinyaga,2005,Kenya average flu incidence,15,"(-0.517766, 37.302006)"
Kirinyaga,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employed (age 5 and over) female rural,89.2,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,56.8,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Economically Inactive (aged 5 and over)female rural,1.8,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employment status unclassified (aged 5 and over)female rural,28.5,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employed (age 5 and over) male rural,88.3,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,57.4,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Economically Inactive (aged 5 and over) male rural,2.1,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employment status unclassified (aged 5 and over)male rural,26.8,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employed (age 5 and over) female urban,88.5,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,52.5,"(-0.517766, 37.302006)"
Kirinyaga,2009, % Economically Inactive (aged 5 and over)female urban,2.3,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employment status unclassified (aged 5 and over) female urban,31.6,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employed (age 5 and over) male urban,87.2,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,55.7,"(-0.517766, 37.302006)"
Kirinyaga,2009, % Economically Inactive (aged 5 and over)male urban,1.8,"(-0.517766, 37.302006)"
Kirinyaga,2009,% Employment status unclassified (aged 5 and over)male urban,27.7,"(-0.517766, 37.302006)"
Kirinyaga,2005,Morbidity rates male,19,"(-0.517766, 37.302006)"
Kirinyaga,2005,Morbidity rates female,27.8,"(-0.517766, 37.302006)"
Kisii,2009,Urban households access to electricty,23.3,"(-0.782524, 34.766895)"
Kisii,2009,Rural households access to electricty,3.1,"(-0.782524, 34.766895)"
Kisii,2009,Rural households access to piped water,2.5,"(-0.782524, 34.766895)"
Kisii,2009,Urban households access to piped water,8.4,"(-0.782524, 34.766895)"
Kisii,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.2,"(-0.782524, 34.766895)"
Kisii,2009,"Urban Access to main sewer, sceptic tank or cess pit",4.2,"(-0.782524, 34.766895)"
Kisii,2009,%  with Pre-Primary education,15.7,"(-0.782524, 34.766895)"
Kisii,2009,%  with Primary education,64.5,"(-0.782524, 34.766895)"
Kisii,2009,%  with Secondary education,17.3,"(-0.782524, 34.766895)"
Kisii,2009,"%  with Tertiary education, university or youth polytechnic",2.5,"(-0.782524, 34.766895)"
Kisii,2005,Incidence of Flu,18.1,"(-0.782524, 34.766895)"
Kisii,2005,Incidence of Fever/Malaria,49,"(-0.782524, 34.766895)"
Kisii,2005,Kenya average flu incidence,15,"(-0.782524, 34.766895)"
Kisii,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.782524, 34.766895)"
Kisii,2009,% Employed (age 5 and over) female rural,83.6,"(-0.782524, 34.766895)"
Kisii,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,47.9,"(-0.782524, 34.766895)"
Kisii,2009,% Economically Inactive (aged 5 and over)female rural,1.5,"(-0.782524, 34.766895)"
Kisii,2009,% Employment status unclassified (aged 5 and over)female rural,30.5,"(-0.782524, 34.766895)"
Kisii,2009,% Employed (age 5 and over) male rural,81.8,"(-0.782524, 34.766895)"
Kisii,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,41.9,"(-0.782524, 34.766895)"
Kisii,2009,% Economically Inactive (aged 5 and over) male rural,1.8,"(-0.782524, 34.766895)"
Kisii,2009,% Employment status unclassified (aged 5 and over)male rural,34.1,"(-0.782524, 34.766895)"
Kisii,2009,% Employed (age 5 and over) female urban,84.5,"(-0.782524, 34.766895)"
Kisii,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,40.7,"(-0.782524, 34.766895)"
Kisii,2009, % Economically Inactive (aged 5 and over)female urban,3.4,"(-0.782524, 34.766895)"
Kisii,2009,% Employment status unclassified (aged 5 and over) female urban,36.5,"(-0.782524, 34.766895)"
Kisii,2009,% Employed (age 5 and over) male urban,82.1,"(-0.782524, 34.766895)"
Kisii,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,40.8,"(-0.782524, 34.766895)"
Kisii,2009, % Economically Inactive (aged 5 and over)male urban,3.1,"(-0.782524, 34.766895)"
Kisii,2009,% Employment status unclassified (aged 5 and over)male urban,34.1,"(-0.782524, 34.766895)"
Kisii,2005,Morbidity rates male,20.8,"(-0.782524, 34.766895)"
Kisii,2005,Morbidity rates female,26.7,"(-0.782524, 34.766895)"
Kisumu,2009,Urban households access to electricty,30.8,"(-0.167225, 34.953647)"
Kisumu,2009,Rural households access to electricty,3.1,"(-0.167225, 34.953647)"
Kisumu,2009,Rural households access to piped water,7.7,"(-0.167225, 34.953647)"
Kisumu,2009,Urban households access to piped water,39.7,"(-0.167225, 34.953647)"
Kisumu,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.5,"(-0.167225, 34.953647)"
Kisumu,2009,"Urban Access to main sewer, sceptic tank or cess pit",13,"(-0.167225, 34.953647)"
Kisumu,2009,%  with Pre-Primary education,20.5,"(-0.167225, 34.953647)"
Kisumu,2009,%  with Primary education,62,"(-0.167225, 34.953647)"
Kisumu,2009,%  with Secondary education,13,"(-0.167225, 34.953647)"
Kisumu,2009,"%  with Tertiary education, university or youth polytechnic",4.4,"(-0.167225, 34.953647)"
Kisumu,2005,Incidence of Flu,5.7,"(-0.167225, 34.953647)"
Kisumu,2005,Incidence of Fever/Malaria,45.6,"(-0.167225, 34.953647)"
Kisumu,2005,Kenya average flu incidence,15,"(-0.167225, 34.953647)"
Kisumu,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.167225, 34.953647)"
Kisumu,2009,% Employed (age 5 and over) female rural,83.4,"(-0.167225, 34.953647)"
Kisumu,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,35.4,"(-0.167225, 34.953647)"
Kisumu,2009,% Economically Inactive (aged 5 and over)female rural,4.2,"(-0.167225, 34.953647)"
Kisumu,2009,% Employment status unclassified (aged 5 and over)female rural,40.5,"(-0.167225, 34.953647)"
Kisumu,2009,% Employed (age 5 and over) male rural,81.1,"(-0.167225, 34.953647)"
Kisumu,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,35.1,"(-0.167225, 34.953647)"
Kisumu,2009,% Economically Inactive (aged 5 and over) male rural,4.5,"(-0.167225, 34.953647)"
Kisumu,2009,% Employment status unclassified (aged 5 and over)male rural,38,"(-0.167225, 34.953647)"
Kisumu,2009,% Employed (age 5 and over) female urban,83.5,"(-0.167225, 34.953647)"
Kisumu,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,31.9,"(-0.167225, 34.953647)"
Kisumu,2009, % Economically Inactive (aged 5 and over)female urban,5.6,"(-0.167225, 34.953647)"
Kisumu,2009,% Employment status unclassified (aged 5 and over) female urban,42.7,"(-0.167225, 34.953647)"
Kisumu,2009,% Employed (age 5 and over) male urban,81.9,"(-0.167225, 34.953647)"
Kisumu,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,40.9,"(-0.167225, 34.953647)"
Kisumu,2009, % Economically Inactive (aged 5 and over)male urban,4.8,"(-0.167225, 34.953647)"
Kisumu,2009,% Employment status unclassified (aged 5 and over)male urban,33,"(-0.167225, 34.953647)"
Kisumu,2005,Morbidity rates male,42.6,"(-0.167225, 34.953647)"
Kisumu,2005,Morbidity rates female,46.4,"(-0.167225, 34.953647)"
Kitui,2009,Urban households access to electricty,23.4,"(-1.519146, 38.376101)"
Kitui,2009,Rural households access to electricty,1.1,"(-1.519146, 38.376101)"
Kitui,2009,Rural households access to piped water,6,"(-1.519146, 38.376101)"
Kitui,2009,Urban households access to piped water,16.1,"(-1.519146, 38.376101)"
Kitui,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.2,"(-1.519146, 38.376101)"
Kitui,2009,"Urban Access to main sewer, sceptic tank or cess pit",4.5,"(-1.519146, 38.376101)"
Kitui,2009,%  with Pre-Primary education,13.1,"(-1.519146, 38.376101)"
Kitui,2009,%  with Primary education,74.8,"(-1.519146, 38.376101)"
Kitui,2009,%  with Secondary education,10,"(-1.519146, 38.376101)"
Kitui,2009,"%  with Tertiary education, university or youth polytechnic",2,"(-1.519146, 38.376101)"
Kitui,2005,Incidence of Flu,3.7,"(-1.519146, 38.376101)"
Kitui,2005,Incidence of Fever/Malaria,50.5,"(-1.519146, 38.376101)"
Kitui,2005,Kenya average flu incidence,15,"(-1.519146, 38.376101)"
Kitui,2005,Kenya average Fever/Malaria incidence,41.4,"(-1.519146, 38.376101)"
Kitui,2009,% Employed (age 5 and over) female rural,84.4,"(-1.519146, 38.376101)"
Kitui,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,32.8,"(-1.519146, 38.376101)"
Kitui,2009,% Economically Inactive (aged 5 and over)female rural,4.9,"(-1.519146, 38.376101)"
Kitui,2009,% Employment status unclassified (aged 5 and over)female rural,42.8,"(-1.519146, 38.376101)"
Kitui,2009,% Employed (age 5 and over) male rural,82.1,"(-1.519146, 38.376101)"
Kitui,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,35.2,"(-1.519146, 38.376101)"
Kitui,2009,% Economically Inactive (aged 5 and over) male rural,5.8,"(-1.519146, 38.376101)"
Kitui,2009,% Employment status unclassified (aged 5 and over)male rural,36.9,"(-1.519146, 38.376101)"
Kitui,2009,% Employed (age 5 and over) female urban,86.5,"(-1.519146, 38.376101)"
Kitui,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,37.3,"(-1.519146, 38.376101)"
Kitui,2009, % Economically Inactive (aged 5 and over)female urban,5.4,"(-1.519146, 38.376101)"
Kitui,2009,% Employment status unclassified (aged 5 and over) female urban,40.6,"(-1.519146, 38.376101)"
Kitui,2009,% Employed (age 5 and over) male urban,84.1,"(-1.519146, 38.376101)"
Kitui,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,42.5,"(-1.519146, 38.376101)"
Kitui,2009, % Economically Inactive (aged 5 and over)male urban,6.1,"(-1.519146, 38.376101)"
Kitui,2009,% Employment status unclassified (aged 5 and over)male urban,32.3,"(-1.519146, 38.376101)"
Kitui,2005,Morbidity rates male,20.9,"(-1.519146, 38.376101)"
Kitui,2005,Morbidity rates female,28.3,"(-1.519146, 38.376101)"
Kwale,2009,Urban households access to electricty,33.5,"(-4.242667, 39.174233)"
Kwale,2009,Rural households access to electricty,3.4,"(-4.242667, 39.174233)"
Kwale,2009,Rural households access to piped water,24.2,"(-4.242667, 39.174233)"
Kwale,2009,Urban households access to piped water,40.9,"(-4.242667, 39.174233)"
Kwale,2009,"Rural Access to main sewer, sceptic tank or cess pit",1.5,"(-4.242667, 39.174233)"
Kwale,2009,"Urban Access to main sewer, sceptic tank or cess pit",8.8,"(-4.242667, 39.174233)"
Kwale,2009,%  with Pre-Primary education,21.9,"(-4.242667, 39.174233)"
Kwale,2009,%  with Primary education,70.5,"(-4.242667, 39.174233)"
Kwale,2009,%  with Secondary education,6.3,"(-4.242667, 39.174233)"
Kwale,2009,"%  with Tertiary education, university or youth polytechnic",1.1,"(-4.242667, 39.174233)"
Kwale,2005,Incidence of Flu,16.4,"(-4.242667, 39.174233)"
Kwale,2005,Incidence of Fever/Malaria,37.7,"(-4.242667, 39.174233)"
Kwale,2005,Kenya average flu incidence,15,"(-4.242667, 39.174233)"
Kwale,2005,Kenya average Fever/Malaria incidence,41.4,"(-4.242667, 39.174233)"
Kwale,2009,% Employed (age 5 and over) female rural,81.5,"(-4.242667, 39.174233)"
Kwale,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,28.7,"(-4.242667, 39.174233)"
Kwale,2009,% Economically Inactive (aged 5 and over)female rural,4.8,"(-4.242667, 39.174233)"
Kwale,2009,% Employment status unclassified (aged 5 and over)female rural,45.6,"(-4.242667, 39.174233)"
Kwale,2009,% Employed (age 5 and over) male rural,79.9,"(-4.242667, 39.174233)"
Kwale,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,34.7,"(-4.242667, 39.174233)"
Kwale,2009,% Economically Inactive (aged 5 and over) male rural,6.7,"(-4.242667, 39.174233)"
Kwale,2009,% Employment status unclassified (aged 5 and over)male rural,36,"(-4.242667, 39.174233)"
Kwale,2009,% Employed (age 5 and over) female urban,85.6,"(-4.242667, 39.174233)"
Kwale,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,24.6,"(-4.242667, 39.174233)"
Kwale,2009, % Economically Inactive (aged 5 and over)female urban,7,"(-4.242667, 39.174233)"
Kwale,2009,% Employment status unclassified (aged 5 and over) female urban,52.1,"(-4.242667, 39.174233)"
Kwale,2009,% Employed (age 5 and over) male urban,84.2,"(-4.242667, 39.174233)"
Kwale,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,40.8,"(-4.242667, 39.174233)"
Kwale,2009, % Economically Inactive (aged 5 and over)male urban,9.1,"(-4.242667, 39.174233)"
Kwale,2009,% Employment status unclassified (aged 5 and over)male urban,32.4,"(-4.242667, 39.174233)"
Kwale,2005,Morbidity rates male,20.5,"(-4.242667, 39.174233)"
Kwale,2005,Morbidity rates female,24.5,"(-4.242667, 39.174233)"
Laikipia,2009,Urban households access to electricty,50.7,"(0.311627, 36.814178)"
Laikipia,2009,Rural households access to electricty,4.6,"(0.311627, 36.814178)"
Laikipia,2009,Rural households access to piped water,13.6,"(0.311627, 36.814178)"
Laikipia,2009,Urban households access to piped water,70.1,"(0.311627, 36.814178)"
Laikipia,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.9,"(0.311627, 36.814178)"
Laikipia,2009,"Urban Access to main sewer, sceptic tank or cess pit",40.2,"(0.311627, 36.814178)"
Laikipia,2009,%  with Pre-Primary education,18.1,"(0.311627, 36.814178)"
Laikipia,2009,%  with Primary education,65.3,"(0.311627, 36.814178)"
Laikipia,2009,%  with Secondary education,13.9,"(0.311627, 36.814178)"
Laikipia,2009,"%  with Tertiary education, university or youth polytechnic",2.6,"(0.311627, 36.814178)"
Laikipia,2005,Incidence of Flu,32.2,"(0.311627, 36.814178)"
Laikipia,2005,Incidence of Fever/Malaria,14.9,"(0.311627, 36.814178)"
Laikipia,2005,Kenya average flu incidence,15,"(0.311627, 36.814178)"
Laikipia,2005,Kenya average Fever/Malaria incidence,41.4,"(0.311627, 36.814178)"
Laikipia,2009,% Employed (age 5 and over) female rural,84.9,"(0.311627, 36.814178)"
Laikipia,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,36.5,"(0.311627, 36.814178)"
Laikipia,2009,% Economically Inactive (aged 5 and over)female rural,5.3,"(0.311627, 36.814178)"
Laikipia,2009,% Employment status unclassified (aged 5 and over)female rural,39.1,"(0.311627, 36.814178)"
