"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"78","BR","National","2003","AIDS cases","O","F","ALL","B0637","Calendar year data.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","14,421","0","-1.00","N/A","","","-1"
"3","BR","National","1980-2009","Cumulative AIDS cases","O","F","ALL","D0519","Reported as of June 09.","R","Brazil","Dourado, I., C. A. L. da Silva, S. MacCarthy, et al.",2010,"Delayed Diagnosis of HIV among the Elderly Population in Salvador, Brazil","XVIII International AIDS Conference, Vienna, Austria, 7/18-23, Poster TuPe0441.","AIDS","188,369","0","-1.00","N/A","","","-1"
"7","BR","National","1988","Cumulative AIDS cases - bisexual","H","M","ALL","D0076","Reported as of 30 July 88.","R","Brazil","De Macedo Rodrigues, L. G., P. Chequer",1989,"AIDS in Brazil, 1982-1988","Bulletin of the Pan American Health Organization, vol. 23, no. 1-2, pp. 30-34.","AIDS","828","0","-1.00","N/A","","","-1"
"692","BR","National","2006","AIDS cases - hemophiliac","T","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","0","-1.00","N/A","","","-1"
"68","BR","National","1993","AIDS cases","O","F","ALL","B0637","Calendar year data.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","3,989","0","-1.00","N/A","","","-1"
"426","BR","National","1993","AIDS deaths","O","F","ALL","B0637","Calendar year data.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","2,220","-1.00","N/A","","","-1"
"81","BR","National","2006","AIDS cases","O","F","ALL","B0637","Jan. - 30 June 06.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","5,467","0","-1.00","N/A","","","-1"
"48","BR","Pernambuco state","1992","Cumulative AIDS cases","O","B","ALL","M0335","Reported as of 1 Apr. 92.","R","Brazil","Ministerio de Saude",1992,"Vigilancia Sentinela da Infeccao HIV no Rio Grande do Sul-Resultados do Primeiro Estudo Transversal","Boletim Epidemiologico AIDS, year 5, no. 6, pp. 1-16.","AIDS","597","0","-1.00","N/A","","","-1"
"77","BR","National","2002","AIDS cases","O","F","ALL","B0637","Calendar year data.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","13,130","0","-1.00","N/A","","","-1"
"80","BR","National","2005","AIDS cases","O","F","ALL","B0637","Calendar year data.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","13,323","0","-1.00","N/A","","","-1"
"82","BR","National","1980","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","1","0","-1.00","N/A","","","-1"
"84","BR","National","1983","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","39","0","-1.00","N/A","","","-1"
"90","BR","National","1989","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","6,587","0","-1.00","N/A","","","-1"
"105","BR","National","2004","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","35,201","0","-1.00","N/A","","","-1"
"89","BR","National","1988","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","4,739","0","-1.00","N/A","","","-1"
"85","BR","National","1984","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","134","0","-1.00","N/A","","","-1"
"91","BR","National","1990","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","9,398","0","-1.00","N/A","","","-1"
"102","BR","National","2001","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","29,132","0","-1.00","N/A","","","-1"
"98","BR","National","1997","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","27,263","0","-1.00","N/A","","","-1"
"47","BR","Parana state","1992","Cumulative AIDS cases","O","B","ALL","M0335","Reported as of 1 Apr. 92.","R","Brazil","Ministerio de Saude",1992,"Vigilancia Sentinela da Infeccao HIV no Rio Grande do Sul-Resultados do Primeiro Estudo Transversal","Boletim Epidemiologico AIDS, year 5, no. 6, pp. 1-16.","AIDS","658","0","-1.00","N/A","","","-1"
"893","BR","National","1980-1994","Cumulative AIDS cases","O","B","ALL","B0637","Reported between 1980 - 1994.  Distribution by year, risk group, sex is provided & by state given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","90,379","0","-1.00","N/A","","","-1"
"1","BR","National","1980-2000","Cumulative AIDS cases","O","B","ALL","D0526","Up to June 00.  Distribution by sex is provided.","R","Brazil","de Brito, A. M., E. A. de Castilho, C. L. Szwarcwald",2000,"AIDS and HIV Infection in Brazil: A Multifaceted Epidemic","Revista da Sociedade Brasileira de Medicina Tropical, vol. 34, no. 2, pp. 207-217.","AIDS","190,949","N/A","-1.00","N/A","","","-1"
"15","BR","Alagoas state","1980-2006","Cumulative AIDS cases","O","B","ALL","B0637","Reported between 1980 - 30 June 06.  Distribution by year is given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","2,342","0","-1.00","N/A","","","-1"
"59","BR","Parana state","1993","Cumulative AIDS cases","O","B","ALL","M0336","Reported as of 4 Sept. 93.","R","Brazil","Ministerio de Saude",1993,"Dia Mundial de Luta Contra a AIDS","Boletim Epidemiologica AIDS, year 6, no. 8, pp. 1-15.","AIDS","1,128","0","-1.00","N/A","","","-1"
"11","BR","Sao Paulo","1996","AIDS deaths","O","F","ALL","D0526","Calendar year data.","R","Brazil","de Brito, A. M., E. A. de Castilho, C. L. Szwarcwald",2000,"AIDS and HIV Infection in Brazil: A Multifaceted Epidemic","Revista da Sociedade Brasileira de Medicina Tropical, vol. 34, no. 2, pp. 207-217.","AIDS","N/A","395","-1.00","N/A","","","-1"
"93","BR","National","1992","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","15,714","0","-1.00","N/A","","","-1"
"95","BR","National","1994","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","19,197","0","-1.00","N/A","","","-1"
"3","BR","Acre state","1980-2006","Cumulative AIDS cases","O","B","ALL","B0637","Reported between 1980 - 30 June 06.  Distribution by year is given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","378","0","-1.00","N/A","","","-1"
"5","BR","Sao Paulo","1995","AIDS deaths","O","M","ALL","D0526","Calendar year data.","R","Brazil","de Brito, A. M., E. A. de Castilho, C. L. Szwarcwald",2000,"AIDS and HIV Infection in Brazil: A Multifaceted Epidemic","Revista da Sociedade Brasileira de Medicina Tropical, vol. 34, no. 2, pp. 207-217.","AIDS","N/A","1,469","-1.00","N/A","","","-1"
"88","BR","National","1987","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","2,948","0","-1.00","N/A","","","-1"
"682","BR","National","2005","AIDS cases - bisexual","H","M","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","1","0","-1.00","N/A","","","-1"
"2","BR","National","1989","Cumulative AIDS cases","O","M","UNK","M0070","Reported as of 29 Apr. 89.","R","Brazil","Ministerio de Saude",1989,"""Children and Adolescents at Risk"" Recommendation of XI Meeting of National Comission on the Control of AIDS","Boletim Epidemiologico AIDS, year 2, no. 10, pp. 1-8.","AIDS","101","0","-1.00","N/A","","","-1"
"96","BR","National","1995","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","22,017","0","-1.00","N/A","","","-1"
"100","BR","National","1999","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","27,277","0","-1.00","N/A","","","-1"
"9","BR","National","1992","Cumulative AIDS cases - IVDU","I","F","ALL","M0335","Reported as of 1 Apr. 92.","R","Brazil","Ministerio de Saude",1992,"Vigilancia Sentinela da Infeccao HIV no Rio Grande do Sul-Resultados do Primeiro Estudo Transversal","Boletim Epidemiologico AIDS, year 5, no. 6, pp. 1-16.","AIDS","1,119","0","-1.00","N/A","","","-1"
"376","BR","Maranhao state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","1,427","-1.00","N/A","","","-1"
"94","BR","National","1993","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","17,523","0","-1.00","N/A","","","-1"
"370","BR","Acre state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","116","-1.00","N/A","","","-1"
"687","BR","National","2005","AIDS cases - perinatal","C","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","513","0","-1.00","N/A","","","-1"
"106","BR","National","2005","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","33,142","0","-1.00","N/A","","","-1"
"369","BR","Rondonia state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","478","-1.00","N/A","","","-1"
"375","BR","Tocantins state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","192","-1.00","N/A","","","-1"
"18","BR","Minas Gerais state","1980-2006","Cumulative AIDS cases","O","B","ALL","B0637","Reported between 1980 - 30 June 06.  Distribution by year is given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","31,488","0","-1.00","N/A","","","-1"
"56","BR","Sao Paulo state","1992","Cumulative AIDS cases","O","B","ALL","M0335","Reported as of 1 Apr. 92.","R","Brazil","Ministerio de Saude",1992,"Vigilancia Sentinela da Infeccao HIV no Rio Grande do Sul-Resultados do Primeiro Estudo Transversal","Boletim Epidemiologico AIDS, year 5, no. 6, pp. 1-16.","AIDS","17,823","0","-1.00","N/A","","","-1"
"457","BR","National","2003","AIDS deaths","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","11,283","-1.00","N/A","","","-1"
"398","BR","National","1987","AIDS deaths","O","M","ALL","B0637","Calendar year data.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","878","-1.00","N/A","","","-1"
"107","BR","National","2006","AIDS cases","O","B","ALL","B0637","Jan. - 30 June 06.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","13,214","0","-1.00","N/A","","","-1"
"386","BR","Espirito Santo state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","2,072","-1.00","N/A","","","-1"
"22","BR","National","1980-2007","Cumulative AIDS cases","O","B","ALL","B0775","","R","Brazil","Bastos, F. I., C. Caceres, J. Galvao, et al.",2008,"AIDS in Latin America: Assessing the Current Status of the Epidemic and the Ongoing Response","International Journal of Epidemiology, vol. 37, no. 4, pp. 729-737.","AIDS","474,273","0","-1.00","N/A","","","-1"
"615","BR","National","1995","AIDS cases - hemophiliac","T","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","7","0","-1.00","N/A","","","-1"
"373","BR","Para state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","2,219","-1.00","N/A","","","-1"
"402","BR","National","1991","AIDS deaths","O","M","ALL","B0637","Calendar year data.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","6,135","-1.00","N/A","","","-1"
"377","BR","Piaui state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","558","-1.00","N/A","","","-1"
"606","BR","National","1980-1994","Cumulative AIDS cases - heterosexual","O","B","ALL","B0637","Reported between 1980 - 1994.  Age 0-12 yrs.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","179","0","-1.00","N/A","","","-1"
"389","BR","Parana state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","6,472","-1.00","N/A","","","-1"
"583","BR","National","2005","AIDS cases - bisexual","H","M","ALL","B0637","Calendar year data.  Age 13+.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","1,295","0","-1.00","N/A","","","-1"
"425","BR","National","1992","AIDS deaths","O","F","ALL","B0637","Calendar year data.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","1,564","-1.00","N/A","","","-1"
"655","BR","National","2001","AIDS cases - heterosexual","O","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","70","0","-1.00","N/A","","","-1"
"658","BR","National","2001","AIDS cases - transfusion","T","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","6","0","-1.00","N/A","","","-1"
"678","BR","National","2004","AIDS cases - hemophiliac","T","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","1","0","-1.00","N/A","","","-1"
"679","BR","National","2004","AIDS cases - transfusion","T","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","6","0","-1.00","N/A","","","-1"
"34","BR","National","1986","AIDS cases","O","M","ALL","B0637","Calendar year data.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","1,105","0","-1.00","N/A","","","-1"
"379","BR","Rio Grande do Norte state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","719","-1.00","N/A","","","-1"
"374","BR","Amapa state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","104","-1.00","N/A","","","-1"
"664","BR","National","2002","AIDS cases - hemophiliac","T","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","0","-1.00","N/A","","","-1"
"659","BR","National","2001","AIDS cases - perinatal","C","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.  Distribution by age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","958","0","-1.00","N/A","","","-1"
"663","BR","National","2002","AIDS cases - IVDU","I","B","ALL","B0637","Calendar year data.  Age 0-12 yrs.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","1","0","-1.00","N/A","","","-1"
"87","BR","National","1986","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","1,178","0","-1.00","N/A","","","-1"
"99","BR","National","1998","AIDS cases","O","B","ALL","B0637","Calendar year data.  Distribution by sex & age is provided.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","30,091","0","-1.00","N/A","","","-1"
"592","BR","National","2005","AIDS cases - perinatal","C","F","ALL","B0637","Calendar year data.  Age 13+.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","10","0","-1.00","N/A","","","-1"
"384","BR","Bahia state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","4,510","-1.00","N/A","","","-1"
"497","BR","National","1997","AIDS cases - IVDU","I","M","ALL","B0637","Calendar year data.  Age 13+.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","3,980","0","-1.00","N/A","","","-1"
"372","BR","Roraima state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","187","-1.00","N/A","","","-1"
"559","BR","National","2002","AIDS cases - perinatal","C","F","ALL","B0637","Calendar year data.  Age 13+.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","8","0","-1.00","N/A","","","-1"
"381","BR","Pernambuco state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","5,092","-1.00","N/A","","","-1"
"380","BR","Paraiba state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","977","-1.00","N/A","","","-1"
"378","BR","Ceara state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","2,367","-1.00","N/A","","","-1"
"393","BR","Mato Grosso state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","1,592","-1.00","N/A","","","-1"
"399","BR","National","1988","AIDS deaths","O","M","ALL","B0637","Calendar year data.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","1,800","-1.00","N/A","","","-1"
"2","BR","National","1988","Cumulative AIDS cases - perinatal","C","M","ALL","D0036","Reported as of 28 May 88.","R","Brazil","DeBarros, A. O. L., G. Levi",1988,"AIDS: Ethical Aspects","Boletim Epidemiologico AIDS, vol. 1, no. 11, pp. 1-8.","AIDS","17","0","-1.00","N/A","","","-1"
"394","BR","Goias state","1985-2005","Cumulative AIDS deaths","O","B","ALL","B0637","Reported between 1985 - 2005.  Distribution by year given in text.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","0","2,616","-1.00","N/A","","","-1"
"544","BR","National","2001","AIDS cases - perinatal","C","M","ALL","B0637","Calendar year data.  Age 13+.  Preliminary.","R","Brazil","Brasilia Ministerio de Saude",2006,"Boletim Epidemiologico AIDS e DST","Boltim Epidemiologico AIDS e DST, ano III, no. 1, janeiro a junho.","AIDS","6","0","-1.00","N/A","","","-1"
