"type","region","district","ward","village","population","in shapefile"
"village","Tanga","Muheza","Amani","Mikwinini",769,"n"
"village","Tanga","Muheza","Amani","Magoda",843,"n"
"village","Tanga","Muheza","Amani","Shebomeza",1520,"n"
"ward","Tanga","Muheza","Tongwe","",7478,"y"
"village","Tanga","Muheza","Tongwe","Kiwanda",1287,"n"
"village","Tanga","Muheza","Tongwe","Masimba",952,"n"
"village","Tanga","Muheza","Tongwe","Kweisaka",1107,"n"
"village","Tanga","Muheza","Tongwe","Tongwe",1303,"n"
"village","Tanga","Muheza","Tongwe","Mangubu",1419,"n"
"village","Tanga","Muheza","Tongwe","Bombani",1410,"n"
"ward","Tanga","Muheza","Mhamba","",3391,"y"
"village","Tanga","Muheza","Mhamba","Mtowambuzi",806,"n"
"village","Tanga","Muheza","Mhamba","Bwitini",1115,"n"
"village","Tanga","Muheza","Mhamba","Mhamba",1470,"n"
"ward","Tanga","Muheza","Kwakifua","",3084,"y"
"village","Tanga","Muheza","Kwakifua","Ngarani",759,"n"
"village","Tanga","Muheza","Kwakifua","Mpakani",1229,"n"
"village","Tanga","Muheza","Kwakifua","Kwakifua",1096,"n"
"ward","Tanga","Muheza","Kwemkabala","",6672,"y"
"village","Tanga","Muheza","Kwemkabala","Masimbani",6672,"n"
"ward","Tanga","Muheza","Genge","",6521,"y"
"village","Tanga","Muheza","Genge","Genge",6521,"n"
"ward","Tanga","Muheza","Tanganyika","",3580,"y"
"village","Tanga","Muheza","Tanganyika","Tanganyika",3580,"n"
"ward","Tanga","Muheza","Mpapayu","",3225,"y"
"village","Tanga","Muheza","Mpapayu","Kwemnyefu",527,"n"
"village","Tanga","Muheza","Mpapayu","Mgome",690,"n"
"village","Tanga","Muheza","Mpapayu","Magoda",769,"n"
"village","Tanga","Muheza","Mpapayu","Mpapayu",1239,"n"
"ward","Tanga","Muheza","Mlingoni","",5326,"n"
"village","Tanga","Muheza","Mlingoni","Kibaoni",1227,"n"
"village","Tanga","Muheza","Mlingoni","Muungano",2267,"n"
"village","Tanga","Muheza","Mlingoni","Mlingano",1832,"n"
"village","Tanga","Muheza","Mlingoni","Tanga City Council",273332,"n"
"village","Tanga","Muheza","Mlingoni","Roma",805,"n"
"village","Tanga","Muheza","Mlingoni","Juwata",1344,"n"
"village","Tanga","Muheza","Mlingoni","Mwazang'ombe",1070,"n"
"village","Tanga","Muheza","Mlingoni","Mtupie",1525,"n"
"village","Tanga","Muheza","Mlingoni","Mkwamichi",1225,"n"
"ward","Tanga","Muheza","Ngamiani Kaskazini","",3910,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Askari",229,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Pangani Road",211,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Maua",375,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Mkwakwani",504,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Makoko",633,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Lumumba",707,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Karafuu",682,"n"
"village","Tanga","Muheza","Ngamiani Kaskazini","Swahili",569,"n"
"ward","Tanga","Muheza","Ngamiani Kati","",4755,"n"
"village","Tanga","Muheza","Ngamiani Kati","Taifa Road",441,"n"
"village","Tanga","Muheza","Ngamiani Kati","Msikiti",607,"n"
"village","Tanga","Muheza","Ngamiani Kati","Maua",481,"n"
"village","Tanga","Muheza","Ngamiani Kati","Mkwakwani",459,"n"
"village","Tanga","Muheza","Ngamiani Kati","Makoko",571,"n"
"village","Tanga","Muheza","Ngamiani Kati","Lumumba",704,"n"
"village","Tanga","Muheza","Ngamiani Kati","Karafuu",769,"n"
"village","Tanga","Muheza","Ngamiani Kati","Swahili",723,"n"
"ward","Tanga","Muheza","Ngamiani Kusini","",7638,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Mapinduzi B",1092,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Jamhuri B",733,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Jamhuri A",808,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Mapinduzi A",927,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Muungano A",1119,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Azimio A",882,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Azimio B",972,"n"
"village","Tanga","Muheza","Ngamiani Kusini","Muungano B",1105,"n"
"ward","Tanga","Muheza","Usagara","",10330,"n"
"village","Tanga","Muheza","Usagara","Usagara Kijijini",2762,"n"
"village","Tanga","Muheza","Usagara","Usagara Kati",1745,"n"
"village","Tanga","Muheza","Usagara","Usagara C",2047,"n"
"village","Tanga","Muheza","Usagara","Usagara B",2071,"n"
"village","Tanga","Muheza","Usagara","Usagara A",1705,"n"
"ward","Tanga","Muheza","Makorora","",16664,"n"
"village","Tanga","Muheza","Makorora","Kombezi A",2090,"n"
"village","Tanga","Muheza","Makorora","Kombezi B",2484,"n"
"village","Tanga","Muheza","Makorora","Community Centre B",2145,"n"
"village","Tanga","Muheza","Makorora","Msikitini",599,"n"
"village","Tanga","Muheza","Makorora","Mwakidila A",1095,"n"
"village","Tanga","Muheza","Makorora","Mwakidila B",873,"n"
"village","Tanga","Muheza","Makorora","Mbugani",1022,"n"
"village","Tanga","Muheza","Makorora","Masiwani Shamba",1325,"n"
"village","Tanga","Muheza","Makorora","Njombe Mperani",750,"n"
"ward","Tanga","Muheza","Mabawa","",35125,"n"
"village","Tanga","Muheza","Mabawa","Swahili",3145,"n"
"village","Tanga","Muheza","Mabawa","Miembeni B",2066,"n"
"village","Tanga","Muheza","Mabawa","Miembeni A",1926,"n"
"village","Tanga","Muheza","Mabawa","Tapa",1139,"n"
"village","Tanga","Muheza","Mabawa","Mabawa B",1186,"n"
"village","Tanga","Muheza","Mabawa","Mabawa A",1189,"n"
"village","Tanga","Muheza","Mabawa","Mikanjuni B",1981,"n"
"village","Tanga","Muheza","Mabawa","Mikanjuni A",3903,"n"
"village","Tanga","Muheza","Mabawa","Kwakaeza A",4298,"n"
"village","Tanga","Muheza","Mabawa","Kwakaeza B",2445,"n"
"village","Tanga","Muheza","Mabawa","Donge",4443,"n"
"village","Tanga","Muheza","Mabawa","Magaoni B",3497,"n"
"village","Tanga","Muheza","Mabawa","Magaoni A",3907,"n"
"ward","Tanga","Muheza","Tongoni","",4594,"n"
"village","Tanga","Muheza","Tongoni","Maere",1488,"n"
"village","Tanga","Muheza","Tongoni","Tongoni",1744,"n"
"village","Tanga","Muheza","Tongoni","Mwarongo",1362,"n"
"ward","Tanga","Muheza","Marungu","",3025,"n"
"village","Tanga","Muheza","Marungu","Marunngu",2507,"n"
"village","Tanga","Muheza","Marungu","Geza",518,"n"
"ward","Tanga","Muheza","Pongwe","",13513,"n"
"village","Tanga","Muheza","Pongwe","Maranzara",1885,"n"
"village","Tanga","Muheza","Pongwe","Kisimatui",1843,"n"
"village","Tanga","Muheza","Pongwe","Pongwe Kaskazini",7314,"n"
"village","Tanga","Muheza","Pongwe","Pongwe Kusini",2471,"n"
"ward","Tanga","Muheza","Maweni","",14091,"n"
"village","Tanga","Muheza","Maweni","Kichangani",14091,"n"
"ward","Tanga","Muheza","Duga","",18704,"n"
"village","Tanga","Muheza","Duga","Jaje",1448,"n"
"village","Tanga","Muheza","Duga","Mjimwema",3015,"n"
"village","Tanga","Muheza","Duga","Magomeni C",1650,"n"
"village","Tanga","Muheza","Duga","Magomeni A",1170,"n"
"village","Tanga","Muheza","Duga","Magomeni B",1809,"n"
"village","Tanga","Muheza","Duga","Mapinduzi",1355,"n"
"village","Tanga","Muheza","Duga","Mwakizaro B",566,"n"
"district","Tanga","Pangani","","",54025,"n"
"ward","Tanga","Pangani","Kimang'a","",3876,"y"
"village","Tanga","Pangani","Kimang'a","Boza",1905,"n"
"village","Tanga","Pangani","Kimang'a","Kimang'a",1971,"n"
"ward","Tanga","Pangani","Bushiri","",7294,"y"
"village","Tanga","Pangani","Bushiri","Mivumoni",1158,"n"
"village","Tanga","Pangani","Bushiri","Msaraza",1678,"n"
"village","Tanga","Pangani","Bushiri","Kigurusimba",2556,"n"
"village","Tanga","Pangani","Bushiri","Masaika",1902,"n"
"ward","Tanga","Pangani","Mwera","",4601,"y"
"village","Tanga","Pangani","Mwera","Mwera",3415,"n"
"village","Tanga","Pangani","Mwera","Mzambarauni",305,"n"
"village","Tanga","Pangani","Mwera","Ushongo",881,"n"
"ward","Tanga","Pangani","Tungamaa","",2583,"y"
"village","Tanga","Pangani","Tungamaa","Langoni",973,"n"
"village","Tanga","Pangani","Tungamaa","Tungamaa",1610,"n"
"ward","Tanga","Pangani","Kipumbwi","",5333,"y"
"village","Tanga","Pangani","Kipumbwi","Kwakibuyu",3810,"n"
"village","Tanga","Pangani","Kipumbwi","Kipumbwi",1523,"n"
"ward","Tanga","Pangani","Mikunguni","",4646,"y"
"village","Tanga","Pangani","Mikunguni","Mtango",1512,"n"
"village","Tanga","Pangani","Mikunguni","Stahabu",1844,"n"
"village","Tanga","Pangani","Mikunguni","Mikinguni",810,"n"
"village","Tanga","Pangani","Mikunguni","Mtonga",480,"n"
"ward","Tanga","Pangani","Ubangaa","",2112,"y"
"village","Tanga","Pangani","Ubangaa","Meka",575,"n"
"village","Tanga","Pangani","Ubangaa","Mseko",674,"n"
"village","Tanga","Pangani","Ubangaa","Mkwajuni",309,"n"
"village","Tanga","Pangani","Ubangaa","Ubangaa",554,"n"
"ward","Tanga","Pangani","Mkwaja","",4217,"y"
"village","Tanga","Pangani","Mkwaja","Sange",1542,"n"
"village","Tanga","Pangani","Mkwaja","Mikocheni",1235,"n"
"village","Tanga","Pangani","Mkwaja","Mkwaja",1234,"n"
"village","Tanga","Pangani","Mkwaja","Buyuni",206,"n"
"ward","Tanga","Pangani","Mkalamo","",5565,"y"
"village","Tanga","Pangani","Mkalamo","Mkalamo",4547,"n"
"village","Tanga","Pangani","Mkalamo","Mbulizaga",1018,"n"
"district","Tanga","Handeni","","",276646,"n"
"ward","Tanga","Handeni","Kwankonje","",10671,"n"
"village","Tanga","Handeni","Kwankonje","Kwamkunga",1257,"n"
"village","Tanga","Handeni","Kwankonje","Kwamsangazi",2273,"n"
"village","Tanga","Handeni","Kwankonje","Nkumba",1438,"n"
"village","Tanga","Handeni","Kwankonje","Kwamsundi",1390,"n"
"village","Tanga","Handeni","Kwankonje","Kwamkonje",4313,"n"
"ward","Tanga","Handeni","Kwachaga","",10438,"y"
"village","Tanga","Handeni","Kwachaga","Mkomba",1866,"n"
"village","Tanga","Handeni","Kwachaga","Tuliani",3783,"n"
"village","Tanga","Handeni","Kwachaga","Kwachaga",3062,"n"
"village","Tanga","Handeni","Kwachaga","Mpalagwe",1727,"n"
"ward","Tanga","Handeni","Sindeni","",16790,"y"
"village","Tanga","Handeni","Sindeni","Komfungo",3093,"n"
"village","Tanga","Handeni","Sindeni","Kwamkono",4073,"n"
"village","Tanga","Handeni","Sindeni","Mbuyuni",2642,"n"
"village","Tanga","Handeni","Sindeni","Kweisasu",2548,"n"
"village","Tanga","Handeni","Sindeni","Sindeni",3204,"n"
"village","Tanga","Handeni","Sindeni","Bongi",1230,"n"
"ward","Tanga","Handeni","Misima","",13366,"y"
"village","Tanga","Handeni","Misima","Msomera",1769,"n"
"village","Tanga","Handeni","Misima","Mzeri",4322,"n"
"village","Tanga","Handeni","Misima","Kibaya",3998,"n"
"village","Tanga","Handeni","Misima","Mbagwi",3277,"n"
"ward","Tanga","Handeni","Kiva","",9972,"y"
"village","Tanga","Handeni","Kiva","Kweditilibe",5598,"n"
"village","Tanga","Handeni","Kiva","Zavuza",2373,"n"
"village","Tanga","Handeni","Kiva","Kwedibangala",2001,"n"
"ward","Tanga","Handeni","Kabuku","",12222,"y"
"village","Tanga","Handeni","Kabuku","Kwedibago",1260,"n"
"village","Tanga","Handeni","Kabuku","Kabuku nje",2804,"n"
"village","Tanga","Handeni","Kabuku","Kabuku kaskazini",2919,"n"
"village","Tanga","Handeni","Kabuku","Kwedikwazu-Magharibi",2619,"n"
"village","Tanga","Handeni","Kabuku","Kwedikwazu-Mashariki",2620,"n"
"ward","Tanga","Handeni","Kwamatuku","",11219,"y"
"village","Tanga","Handeni","Kwamatuku","Nkale",1718,"n"
"village","Tanga","Handeni","Kwamatuku","Kwamatuku",4527,"n"
"village","Tanga","Handeni","Kwamatuku","Kweingoma",2240,"n"
"village","Tanga","Handeni","Kwamatuku","Komsala",2734,"n"
"ward","Tanga","Handeni","Kwedizinga","",6319,"y"
"village","Tanga","Handeni","Kwedizinga","Kwedizinga",2256,"n"
"village","Tanga","Handeni","Kwedizinga","Ugweno",1407,"n"
"village","Tanga","Handeni","Kwedizinga","Taula",2656,"n"
"district","Tanga","Kilindi","","",236833,"n"
"ward","Tanga","Kilindi","Songe","",14801,"y"
"village","Tanga","Kilindi","Songe","Nkama",2815,"n"
"village","Tanga","Kilindi","Songe","Kwastemba",2518,"n"
"village","Tanga","Kilindi","Songe","Bokwa",2840,"n"
"village","Tanga","Kilindi","Songe","Songe",5259,"n"
"village","Tanga","Kilindi","Songe","Vilindwa",1369,"n"
"ward","Tanga","Kilindi","Pagwi","",11518,"y"
"village","Tanga","Kilindi","Pagwi","Pagwi",2591,"n"
"village","Tanga","Kilindi","Pagwi","Makelele",1864,"n"
"village","Tanga","Kilindi","Pagwi","Chamtui",2113,"n"
"village","Tanga","Kilindi","Pagwi","Nyamaleni",2496,"n"
"village","Tanga","Kilindi","Pagwi","Lumotio",1424,"n"
"village","Tanga","Kilindi","Pagwi","Mtakuja",1030,"n"
"ward","Tanga","Kilindi","Masagulu","",13464,"n"
"village","Tanga","Kilindi","Masagulu","Kwamba",3619,"n"
"village","Tanga","Kilindi","Masagulu","Masagaru",2763,"n"
"village","Tanga","Kilindi","Masagulu","Mheza",2869,"n"
"village","Tanga","Kilindi","Masagulu","Sambu",2526,"n"
"village","Tanga","Kilindi","Masagulu","Kigunga",1687,"n"
"ward","Tanga","Kilindi","Kimbe","",14249,"y"
"village","Tanga","Kilindi","Kimbe","Kweisapo",2962,"n"
"village","Tanga","Kilindi","Kimbe","Kimbe",1968,"n"
"village","Tanga","Kilindi","Kimbe","Vunila",1721,"n"
"village","Tanga","Kilindi","Kimbe","Vyadigwa",3914,"n"
"village","Tanga","Kilindi","Kimbe","Mmbogo Vill",1323,"n"
"village","Tanga","Kilindi","Kimbe","Komnazi",1625,"n"
"village","Tanga","Kilindi","Kimbe","Mnyingwa",736,"n"
"ward","Tanga","Kilindi","Kilindi","",11093,"y"
"village","Tanga","Kilindi","Kilindi","Misufini",2258,"n"
"village","Tanga","Kilindi","Kilindi","Kwamazuma",3415,"n"
"village","Tanga","Kilindi","Kilindi","Kilindi",5420,"n"
"ward","Tanga","Kilindi","Negero","",10000,"y"
"village","Tanga","Kilindi","Negero","Negero",3335,"n"
"village","Tanga","Kilindi","Negero","Kwaruguru",2437,"n"
"village","Tanga","Kilindi","Negero","Lukole",1859,"n"
"village","Tanga","Kilindi","Negero","Kimamba",1553,"n"
"village","Tanga","Kilindi","Negero","Komsiga",816,"n"
"ward","Tanga","Kilindi","Mkindi","",10774,"y"
"village","Tanga","Kilindi","Mkindi","Kwekinkwembe",4597,"n"
"village","Tanga","Kilindi","Mkindi","Mkindi",2409,"n"
"village","Tanga","Kilindi","Mkindi","Lenguselo",1720,"n"
"village","Tanga","Kilindi","Mkindi","Mtonga",2048,"n"
"ward","Tanga","Kilindi","Mvungwe","",20100,"y"
"village","Tanga","Kilindi","Mvungwe","Mvungwe",3689,"n"
"village","Tanga","Kilindi","Mvungwe","Kwamwande",4665,"n"
"village","Tanga","Kilindi","Mvungwe","Mafisa",6750,"n"
"village","Tanga","Kilindi","Mvungwe","Mafisa madukani",4996,"n"
"ward","Tanga","Kilindi","Kwediboma","",17748,"y"
"village","Tanga","Kilindi","Kwediboma","Kileguru",2335,"n"
"village","Tanga","Kilindi","Kwediboma","Mzinga",2521,"n"
"village","Tanga","Kilindi","Kwediboma","Kwedigole",1735,"n"
"village","Tanga","Kilindi","Kwediboma","Kwediboma",1913,"n"
"village","Tanga","Kilindi","Kwediboma","Mpahalu",2353,"n"
"village","Tanga","Kilindi","Kwediboma","Makasini",6891,"n"
"ward","Tanga","Kilindi","Saunyi","",3231,"y"
"village","Tanga","Kilindi","Saunyi","Ng'oborre",1109,"n"
"village","Tanga","Kilindi","Saunyi","Saunyi",2122,"n"
"ward","Tanga","Kilindi","Jaila","",12319,"y"
"village","Tanga","Kilindi","Jaila","Sangeni",2457,"n"
"village","Tanga","Kilindi","Jaila","Mafuleta",1914,"n"
"village","Tanga","Kilindi","Jaila","Msente",1595,"n"
"village","Tanga","Kilindi","Jaila","Kolang'a",1536,"n"
"village","Tanga","Kilindi","Jaila","Selewa",858,"n"
"village","Tanga","Kilindi","Jaila","Mangidi",1807,"n"
"village","Tanga","Kilindi","Jaila","Kigamba",1706,"n"
"village","Tanga","Kilindi","Jaila","Kwandilwa",446,"n"
"ward","Tanga","Kilindi","Msanja","",17233,"y"
"village","Tanga","Kilindi","Msanja","Kwadudu",3364,"n"
"village","Tanga","Kilindi","Msanja","Muungano",3227,"n"
"village","Tanga","Kilindi","Msanja","Mnkonde",1836,"n"
"village","Tanga","Kilindi","Msanja","Kigwama",2985,"n"
"village","Tanga","Kilindi","Msanja","Mswaki",3330,"n"
"village","Tanga","Kilindi","Msanja","Mzungu wa sala",1239,"n"
"village","Tanga","Kilindi","Msanja","Tuliani",1252,"n"
"ward","Tanga","Kilindi","Kisangasa","",9591,"y"
"village","Tanga","Kilindi","Kisangasa","Kisangasa",1284,"n"
"village","Tanga","Kilindi","Kisangasa","Mgera",2255,"n"
"village","Tanga","Kilindi","Kisangasa","Kwediswati",1804,"n"
"village","Tanga","Kilindi","Kisangasa","Balang'a",1806,"n"
"village","Tanga","Kilindi","Kisangasa","Makingo",850,"n"
"village","Tanga","Kilindi","Kisangasa","Lekitinge",831,"n"
"village","Tanga","Kilindi","Kisangasa","Jungu",761,"n"
"district","Tanga","Mkinga","","",118065,"n"
"ward","Tanga","Mkinga","Duga","",9444,"y"
"village","Tanga","Mkinga","Duga","Horohoro Kijijini",2046,"n"
"village","Tanga","Mkinga","Duga","Maforoni",3263,"n"
"village","Tanga","Mkinga","Duga","Horohoro Border",1639,"n"
"village","Tanga","Mkinga","Duga","Mwakikonge",1259,"n"
"village","Tanga","Mkinga","Duga","Mwakikoya",1237,"n"
"ward","Tanga","Mkinga","Moa","",4339,"y"
"village","Tanga","Mkinga","Moa","Mwaboza",1089,"n"
"village","Tanga","Mkinga","Moa","Vuo",1116,"n"
"village","Tanga","Mkinga","Moa","Moa",889,"n"
"village","Tanga","Mkinga","Moa","Zingibari",1245,"n"
"ward","Tanga","Mkinga","Manza","",3613,"y"
"village","Tanga","Mkinga","Manza","Mwandusi",640,"n"
"village","Tanga","Mkinga","Manza","Mtundani",508,"n"
"village","Tanga","Mkinga","Manza","Manza",1792,"n"
"village","Tanga","Mkinga","Manza","Tawalani",673,"n"
"ward","Tanga","Mkinga","Kwale","",2430,"y"
"village","Tanga","Mkinga","Kwale","Kichalikani",331,"n"
"village","Tanga","Mkinga","Kwale","Mongavyeru",847,"n"
"village","Tanga","Mkinga","Kwale","Kwale",478,"n"
"village","Tanga","Mkinga","Kwale","Kizingani",774,"n"
"ward","Tanga","Mkinga","Mtimbwani","",3103,"y"
"village","Tanga","Mkinga","Mtimbwani","Mtimbwani",1882,"n"
"village","Tanga","Mkinga","Mtimbwani","Msimbazi",199,"n"
"village","Tanga","Mkinga","Mtimbwani","Kibiboni",1022,"n"
"ward","Tanga","Mkinga","Gombero","",6302,"y"
"village","Tanga","Mkinga","Gombero","Gombero",1519,"n"
"village","Tanga","Mkinga","Gombero","Vundemanyinyi",937,"n"
"village","Tanga","Mkinga","Gombero","Dima",659,"n"
"village","Tanga","Mkinga","Gombero","Jirihini",1594,"n"
"village","Tanga","Mkinga","Gombero","Kichangani",1593,"n"
"ward","Tanga","Mkinga","Mhinduro","",6989,"y"
"village","Tanga","Mkinga","Mhinduro","Muheza",946,"n"
"village","Tanga","Mkinga","Mhinduro","Mhinduro",1374,"n"
"village","Tanga","Mkinga","Mhinduro","Bambamavengero",1735,"n"
"village","Tanga","Mkinga","Mhinduro","Segoma",490,"n"
"village","Tanga","Mkinga","Mhinduro","Churwa",1917,"n"
"village","Tanga","Mkinga","Mhinduro","Mchangani",527,"n"
"ward","Tanga","Mkinga","Maramba","",10961,"y"
"village","Tanga","Mkinga","Maramba","Matemboni",908,"n"
"village","Tanga","Mkinga","Maramba","Maramba B",5351,"n"
"village","Tanga","Mkinga","Maramba","Maramba A",3433,"n"
"village","Tanga","Mkinga","Maramba","Mbambakofi",1269,"n"
"ward","Tanga","Mkinga","Kigongoi","",7318,"y"
"village","Tanga","Mkinga","Kigongoi","Hemsambia",1575,"n"
"village","Tanga","Mkinga","Kigongoi","Vuga",1387,"n"
"village","Tanga","Mkinga","Kigongoi","Kwekuyu",813,"n"
"village","Tanga","Mkinga","Kigongoi","Kidundui",1586,"n"
"village","Tanga","Mkinga","Kigongoi","Mgambo Shashui",1164,"n"
"village","Tanga","Mkinga","Kigongoi","Bombo mbuyuni",793,"n"
"ward","Tanga","Mkinga","Daluni","",6905,"y"
"village","Tanga","Mkinga","Daluni","Ng'ombeni",804,"n"
"village","Tanga","Mkinga","Daluni","Daluni Kibaoni",2789,"n"
"village","Tanga","Mkinga","Daluni","Kisiwani B",1184,"n"
"village","Tanga","Mkinga","Daluni","Daluni Kisiwani A",1283,"n"
"village","Tanga","Mkinga","Daluni","Mtoni Bombo",845,"n"
"ward","Tanga","Mkinga","Bosha","",7585,"y"
"village","Tanga","Mkinga","Bosha","Kuze Kibago",2140,"n"
"village","Tanga","Mkinga","Bosha","Bosha Kwemtindi",3765,"n"
"village","Tanga","Mkinga","Bosha","Muzi kafishe",827,"n"
"village","Tanga","Mkinga","Bosha","Kwamtili",853,"n"
"ward","Tanga","Mkinga","Mapatano","",6677,"y"
"village","Tanga","Mkinga","Mapatano","Bantu",1142,"n"
"village","Tanga","Mkinga","Mapatano","Mapatano",2034,"n"
"village","Tanga","Mkinga","Mapatano","Mtakuja",2377,"n"
"village","Tanga","Mkinga","Mapatano","Mbuyuni",1124,"n"
"ward","Tanga","Mkinga","Bwiti","",9711,"y"
"village","Tanga","Mkinga","Bwiti","Bwiti",2257,"n"
"village","Tanga","Mkinga","Bwiti","Mwanyumba",2388,"n"
"village","Tanga","Mkinga","Bwiti","Kiumbo",716,"n"
"village","Tanga","Mkinga","Bwiti","Magati",1642,"n"
"village","Tanga","Mkinga","Bwiti","Mavovo",2708,"n"
"ward","Tanga","Mkinga","Mnyenzani","",3604,"y"
"village","Tanga","Mkinga","Mnyenzani","Machimboni",1417,"n"
"village","Tanga","Mkinga","Mnyenzani","Mnyenzani",1348,"n"
"village","Tanga","Mkinga","Mnyenzani","Kwangena",839,"n"
"ward","Tanga","Mkinga","Doda","",2670,"y"
"village","Tanga","Mkinga","Doda","Bambamwarongo",716,"n"
"village","Tanga","Mkinga","Doda","Doda",548,"n"
"village","Tanga","Mkinga","Doda","Mazola Kilifi",1406,"n"
"village","Tanga","Mkinga","Doda","Korogwe Town Council",68308,"n"
"village","Tanga","Mkinga","Doda","Handeni Town Council",79056,"n"
"ward","Tanga","Mkinga","Mlimani","",5252,"n"
"village","Tanga","Mkinga","Mlimani","Kwenundu",899,"n"
"village","Tanga","Mkinga","Mlimani","Charumbi",1154,"n"
"village","Tanga","Mkinga","Mlimani","Mulo",1075,"n"
"village","Tanga","Mkinga","Mlimani","Kwasindi",893,"n"
"village","Tanga","Mkinga","Mlimani","Bilikani",1231,"n"
"ward","Tanga","Mkinga","Msasa","",4328,"n"
"village","Tanga","Mkinga","Msasa","Mnazimmoja",1227,"n"
"village","Tanga","Mkinga","Msasa","Kwamgodi",1020,"n"
"village","Tanga","Mkinga","Msasa","Msasa",710,"n"
"village","Tanga","Mkinga","Msasa","Mazundu",416,"n"
"village","Tanga","Mkinga","Msasa","Kwalusungo",955,"n"
"ward","Tanga","Mkinga","Kideleko","",5414,"n"
"village","Tanga","Mkinga","Kideleko","Kampene",1288,"n"
"village","Tanga","Mkinga","Kideleko","Kideleko",1294,"n"
"village","Tanga","Mkinga","Kideleko","Muungano",1007,"n"
"village","Tanga","Mkinga","Kideleko","Ndekai",729,"n"
"village","Tanga","Mkinga","Kideleko","Bangu",1096,"n"
"ward","Tanga","Mkinga","Kwamagome","",9188,"n"
"village","Tanga","Mkinga","Kwamagome","Kwaluwala",2959,"n"
"village","Tanga","Mkinga","Kwamagome","Hedi",1259,"n"
"village","Tanga","Mkinga","Kwamagome","Kwamagome",2529,"n"
"village","Tanga","Mkinga","Kwamagome","Mbamba",1079,"n"
"village","Tanga","Mkinga","Kwamagome","Msaje",1362,"n"
"ward","Tanga","Mkinga","Vibaoni","",6078,"n"
"village","Tanga","Mkinga","Vibaoni","Kileleni",1669,"n"
"village","Tanga","Mkinga","Vibaoni","Kwambwembwela",1193,"n"
"village","Tanga","Mkinga","Vibaoni","Vibaoni",653,"n"
"village","Tanga","Mkinga","Vibaoni","Komsanga",1108,"n"
"village","Tanga","Mkinga","Vibaoni","Bomani",1455,"n"
"ward","Tanga","Mkinga","Chanika","",10994,"n"
"village","Tanga","Mkinga","Chanika","Azimio",1919,"n"
"village","Tanga","Mkinga","Chanika","Kwakivesa",2280,"n"
"village","Tanga","Mkinga","Chanika","Kwamngumi",2392,"n"
"village","Tanga","Mkinga","Chanika","Chang'ombe",1296,"n"
"village","Tanga","Mkinga","Chanika","Zizini",3107,"n"
"ward","Tanga","Mkinga","Mdoe","",9541,"n"
"village","Tanga","Mkinga","Mdoe","Mdoe",3302,"n"
"village","Tanga","Mkinga","Mdoe","Jitengeni/Zizini Kati",2032,"n"
"village","Tanga","Mkinga","Mdoe","Mjimpya",1355,"n"
"village","Tanga","Mkinga","Mdoe","Bwawani",2107,"n"
"village","Tanga","Mkinga","Mdoe","Seuta",745,"n"
"ward","Tanga","Mkinga","Kwediyamba","",4152,"n"
"village","Tanga","Mkinga","Kwediyamba","Mpakani",818,"n"
"village","Tanga","Mkinga","Kwediyamba","Kweinikambala",550,"n"
"village","Tanga","Mkinga","Kwediyamba","Turiani",998,"n"
"village","Tanga","Mkinga","Kwediyamba","Kwediyamba",1174,"n"
"village","Tanga","Mkinga","Kwediyamba","Kwedizando",612,"n"
"region","Morogoro","","","",2218492,"n"
"district","Morogoro","Kilosa","","",438175,"n"
"ward","Morogoro","Kilosa","Mabula","",7168,"y"
"village","Morogoro","Kilosa","Mabula","Mbili",2618,"n"
"village","Morogoro","Kilosa","Mabula","Mabula",2134,"n"
"village","Morogoro","Kilosa","Mabula","Nhembo",1262,"n"
"village","Morogoro","Kilosa","Mabula","Magera",1154,"n"
"ward","Morogoro","Kilosa","Maguha","",7848,"y"
"village","Morogoro","Kilosa","Maguha","Maguha",3373,"n"
"village","Morogoro","Kilosa","Maguha","Nyangala Bondeni",943,"n"
"village","Morogoro","Kilosa","Maguha","Inyunywe",868,"n"
"village","Morogoro","Kilosa","Maguha","Chaumbele",1093,"n"
"village","Morogoro","Kilosa","Maguha","Ibindo",1571,"n"
"ward","Morogoro","Kilosa","Berega","",11199,"y"
"village","Morogoro","Kilosa","Berega","Dumbaalume",1713,"n"
"village","Morogoro","Kilosa","Berega","Kiyegeya",4442,"n"
"village","Morogoro","Kilosa","Berega","Berega",5045,"n"
"ward","Morogoro","Kilosa","Magubike","",10274,"y"
"village","Morogoro","Kilosa","Magubike","Mwandi",2910,"n"
"village","Morogoro","Kilosa","Magubike","Ifunde",763,"n"
